date,weightkg,fatkg,boneskg,musclekg,leankg,fatpercent,comment
2026-03-09T05:40:00+08:00,55.10,0,0,0,0,0,Manual
2026-03-05T05:50:00+08:00,55.10,0,0,0,0,0,Manual
2026-03-04T06:00:00+08:00,55.10,0,0,0,0,0,Manual
2026-03-03T06:00:00+08:00,54.95,0,0,0,0,0,Manual
2026-03-02T06:00:00+08:00,54.45,0,0,0,0,0,Manual
2026-02-27T05:50:00+08:00,55.05,0,0,0,0,0,Manual
2026-02-26T05:50:00+08:00,55.25,0,0,0,0,0,Manual
2026-02-25T05:50:00+08:00,55.60,0,0,0,0,0,Manual
2026-02-24T05:50:00+08:00,54.75,0,0,0,0,0,Manual
2026-02-23T05:50:00+08:00,54.75,0,0,0,0,0,Manual
2026-02-20T05:50:00+08:00,54.95,0,0,0,0,0,Manual
2026-02-18T09:50:00+08:00,54.40,0,0,0,0,0,Manual
2026-02-17T09:50:00+08:00,54.60,0,0,0,0,0,Manual
2026-02-16T05:50:00+08:00,54.95,0,0,0,0,0,Manual
2026-02-15T09:40:00+08:00,54.65,0,0,0,0,0,Manual
2026-02-14T07:50:00+08:00,54.85,0,0,0,0,0,Manual
2026-02-13T05:50:00+08:00,55.05,0,0,0,0,0,Manual
2026-02-12T06:00:00+08:00,54.70,0,0,0,0,0,Manual
2026-02-11T06:00:00+08:00,54.15,0,0,0,0,0,Manual
2026-02-10T05:40:00+08:00,54.30,0,0,0,0,0,Manual
2026-02-09T05:40:00+08:00,55.15,0,0,0,0,0,Manual
2026-02-08T09:30:00+08:00,54.25,0,0,0,0,0,Manual
2026-02-07T08:00:00+08:00,54.25,0,0,0,0,0,Manual
2026-02-06T06:00:00+08:00,53.70,0,0,0,0,0,Manual
2026-02-05T06:00:00+08:00,54.25,0,0,0,0,0,Manual
2026-02-04T06:00:00+08:00,54.50,0,0,0,0,0,Manual
2026-02-03T06:00:00+08:00,54.60,0,0,0,0,0,Manual
2026-02-02T06:00:00+08:00,54.70,0,0,0,0,0,Manual
2026-02-01T08:00:00+08:00,54.00,0,0,0,0,0,Manual
2026-01-31T07:15:00+08:00,54.35,0,0,0,0,0,Manual
2026-01-30T05:45:00+08:00,54.60,0,0,0,0,0,Manual
2026-01-29T05:40:00+08:00,54.15,0,0,0,0,0,Manual
2026-01-28T05:40:00+08:00,54.35,0,0,0,0,0,Manual
2026-01-27T05:50:00+08:00,54.35,0,0,0,0,0,Manual
2026-01-26T05:50:00+08:00,54.45,0,0,0,0,0,Manual
2026-01-23T05:50:00+08:00,53.75,0,0,0,0,0,Manual
2026-01-22T05:50:00+08:00,54.00,0,0,0,0,0,Manual
2026-01-21T05:50:00+08:00,54.55,0,0,0,0,0,Manual
2026-01-20T05:50:00+08:00,54.50,0,0,0,0,0,Manual
2026-01-19T05:50:00+08:00,53.90,0,0,0,0,0,Manual
2026-01-18T03:00:00+08:00,54.75,0,0,0,0,0,Manual
2026-01-17T09:00:00+08:00,54.25,0,0,0,0,0,Manual
2026-01-16T05:50:00+08:00,53.75,0,0,0,0,0,Manual
2026-01-15T05:50:00+08:00,53.90,0,0,0,0,0,Manual
2026-01-14T05:50:00+08:00,54.05,0,0,0,0,0,Manual
2026-01-13T06:30:00+08:00,54.35,0,0,0,0,0,Manual
2026-01-12T05:10:00+08:00,54.25,0,0,0,0,0,Manual
2026-01-11T09:00:00+08:00,53.15,0,0,0,0,0,Manual
2026-01-10T09:00:00+08:00,53.50,0,0,0,0,0,Manual
2026-01-09T06:10:00+08:00,53.20,0,0,0,0,0,Manual
2026-01-08T06:10:00+08:00,53.20,0,0,0,0,0,Manual
2026-01-07T05:45:00+08:00,53.70,0,0,0,0,0,Manual
2026-01-06T05:45:00+08:00,53.70,0,0,0,0,0,Manual
2026-01-05T05:45:00+08:00,53.45,0,0,0,0,0,Manual
2026-01-04T09:45:00+08:00,53.60,0,0,0,0,0,Manual
2026-01-03T09:45:00+08:00,53.05,0,0,0,0,0,Manual
2026-01-02T09:45:00+08:00,53.30,0,0,0,0,0,Manual
2026-01-01T09:45:00+08:00,52.45,0,0,0,0,0,Manual
